Transaction_ID,Transacton_Amt (USD),Merchant Category,Card Type,Authentication Method,Transaction Mode,Device Type,Is Foreign Transaction,Hours Since Last Transaction,Transactions Count (last 24hrs),Distance from home (Km),Card Age (Months),Customer Age,Customer Age Group,Account Balance (USD),New Merchant,VPN Used,IP Country Mismatch,Billing & Shipping Mismatch,CVV Retry Count,Velocity Score,Time of Day,Day of Week,AI Scam Attempt,Merchant Risk Score,Merchant Risk Level,Previous Disputes,Fraud Status
1,42.86,Restaurants,Visa,OTP,Online,Android Phone,No,12-24 Hours,2,22.35,2–5 Years,25,18-25,1080.71,No,No,No,No,0,0.1,Evening (5 PM - 9 PM),Wednesday,No,42.3,Medium,0,Genuine
2,4.75,Online Retail,Mastercard,3D Secure,Online,Android Phone,No,Within 1 Hour,2,35.28,2–5 Years,33,26-35,4463.72,Yes,No,No,No,0,25.8,Afternoon (12 PM - 5 PM),Thursday,No,28.3,Low,0,Genuine
3,77.18,Groceries,Mastercard,3D Secure,Online,Mac,No,Within 1 Hour,5,9.82,2–5 Years,59,46-60,366.25,No,Yes,No,Yes,0,42.3,Early Morning (12 AM - 6 AM),Sunday,No,24.7,Low,1,Genuine
4,1.69,Streaming,Visa,No Authentication,POS,Android Phone,No,1-6 Hours,6,19.72,2–5 Years,28,26-35,1345.29,Yes,No,No,No,0,28.9,Night (9 PM - 12 AM),Saturday,No,56.2,Medium,1,Genuine
5,261.68,Travel,Visa,3D Secure,In-App,iPhone,No,1-6 Hours,2,17.68,2–5 Years,36,36-45,4192.59,No,No,No,No,0,3.9,Early Morning (12 AM - 6 AM),Thursday,No,32.7,Low,0,Genuine
6,119.72,Gift Cards,Amex,Biometric,Contactless,iPhone,No,1-6 Hours,4,60.78,5+ Years,18,18-25,844.16,Yes,No,No,No,0,15.2,Early Morning (12 AM - 6 AM),Monday,No,81.2,Very High,0,Genuine
7,139.71,Electronics,RuPay,3D Secure,In-App,POS Terminal,No,12-24 Hours,6,25.71,2–5 Years,49,46-60,1235.77,No,No,No,No,1,24.5,Early Morning (12 AM - 6 AM),Wednesday,No,63,High,0,Genuine
8,340.68,Electronics,Visa,3D Secure,Online,ATM Machine,No,1-2 Days,2,28.91,2–5 Years,44,36-45,815.37,No,No,No,No,0,15.9,Afternoon (12 PM - 5 PM),Friday,No,52.9,Medium,0,Genuine
9,116.41,Groceries,Mastercard,Biometric,Online,iPhone,No,6-12 Hours,2,28.58,2–5 Years,44,36-45,1165.12,No,No,No,No,0,25.5,Morning (6 AM - 12 PM),Thursday,No,39.8,Low,1,Genuine
10,154.65,Groceries,Visa,PIN,Online,Tablet,No,Within 1 Hour,5,4.3,2–5 Years,62,61+,1938.48,No,No,No,No,0,30.7,Morning (6 AM - 12 PM),Friday,No,38.3,Low,0,Genuine
11,64.78,Groceries,Discover,3D Secure,POS,POS Terminal,No,Within 1 Hour,3,18.06,2–5 Years,20,18-25,1962.45,No,No,No,No,0,26.8,Afternoon (12 PM - 5 PM),Friday,No,36.8,Low,0,Genuine
12,166.57,Travel,RuPay,PIN,Online,iPhone,No,1-6 Hours,3,6.63,2–5 Years,73,61+,1623.67,No,No,No,No,0,36,Afternoon (12 PM - 5 PM),Thursday,No,27.1,Low,0,Genuine
13,37.45,Gift Cards,Mastercard,OTP,ATM,Android Phone,No,6-12 Hours,2,13.77,2–5 Years,24,18-25,1200.48,Yes,No,No,No,0,11.1,Morning (6 AM - 12 PM),Saturday,No,64.4,High,0,Genuine
14,6.08,Online Retail,Amex,3D Secure,Online,iPhone,No,1-6 Hours,6,6.8,2–5 Years,80,61+,9149.51,Yes,No,No,No,0,21.9,Morning (6 AM - 12 PM),Thursday,No,38.2,Low,0,Genuine
15,21.76,Fuel,Mastercard,Biometric,Online,Android Phone,No,1-6 Hours,4,8.18,2–5 Years,67,61+,1784.27,Yes,No,No,No,0,17.3,Afternoon (12 PM - 5 PM),Saturday,No,20.5,Low,1,Genuine
16,229.32,Electronics,Amex,PIN,POS,POS Terminal,No,1-6 Hours,5,40.71,2–5 Years,22,18-25,7938.88,No,No,No,No,0,15.6,Night (9 PM - 12 AM),Thursday,No,42.5,Medium,0,Genuine
17,305.01,Travel,Mastercard,3D Secure,Contactless,Android Phone,No,1-6 Hours,4,1.27,2–5 Years,50,46-60,363.07,No,No,No,No,0,22.1,Night (9 PM - 12 AM),Monday,No,30.6,Low,0,Genuine
18,86.01,Fuel,Visa,3D Secure,POS,ATM Machine,No,1-6 Hours,5,28.73,2–5 Years,56,46-60,8721.82,Yes,No,No,No,0,33.1,Morning (6 AM - 12 PM),Thursday,No,17,Very Low,0,Genuine
